Model,Activation,Optimizer,Seq_Length,Grad_Clipping,Accuracy,F1_Score,Avg_Epoch_Time_s
rnn,relu,adam,50,Yes,0.64352,0.6434268824992864,21.0429904460907
lstm,relu,adam,50,Yes,0.75844,0.7575330412844311,25.688654232025147
bilstm,relu,adam,50,Yes,0.76176,0.7614067124377364,48.553703498840335
lstm,sigmoid,adam,50,Yes,0.65108,0.6195311577410492,28.242920207977296
lstm,relu,adam,50,Yes,0.76412,0.7639519757288481,28.473237609863283
lstm,tanh,adam,50,Yes,0.75844,0.7574226652008649,27.65180926322937
lstm,relu,adam,50,Yes,0.76328,0.7632402334507947,29.398640584945678
lstm,relu,sgd,50,Yes,0.50924,0.5092396537194996,20.69678235054016
lstm,relu,rmsprop,50,Yes,0.75132,0.7489461306140864,24.109206771850587
lstm,relu,adam,25,Yes,0.71088,0.7096849163323176,16.174862241744997
lstm,relu,adam,50,Yes,0.76424,0.7640581790802232,30.286677646636964
lstm,relu,adam,100,Yes,0.81828,0.8182765455098195,45.584085035324094
lstm,relu,adam,50,No,0.76392,0.7638886655703634,27.28262324333191
lstm,relu,adam,50,Yes,0.76216,0.7613029806942236,30.01655216217041
